http://www.rdatamining.com/docs,mktrf,smb,hml,rf,umd
20050602,0.0024,0.0014,-0.0024,0.0001,-0.0005
20050603,-0.0067,-0.0021,0.0048,0.0001,0.0064
20050606,0.0014,0.0032,0.0013,0.0001,0.0031
20050607,-0.0003,0.0015,0.0009,0.0001,-0.0023
20050608,-0.0028,-0.0039,0.0036,0.0001,-0.0033
20050609,0.0058,0.0031,-0.0011,0.0001,0.0062
20050610,-0.0021,0.0011,0.0054,0.0001,-0.002
20050613,0.0028,0.0013,0.0018,0.0001,0.0008
20050614,0.0031,0.0049,0.0039,0.0001,-0.0009
20050615,0.0022,0.0023,0.0022,0.0001,0.0019
20050616,0.0046,0.0062,-0.0029,0.0001,0.0011
20050617,0.0036,-0.0059,0.0019,0.0001,0.0033
20050620,-0.0007,-0.0033,0.0009,0.0001,0.0003
20050621,-0.0018,0.0011,-0.0005,0.0001,-0.0044
20050622,0.0005,0.0028,-0.0009,0.0001,0.0015
20050623,-0.0107,-0.0043,0.0014,0.0001,-0.0003
20050624,-0.0072,-0.0004,0.0012,0.0001,0.001
20050627,-0.0007,-0.0012,0.0055,0.0001,0.0093
20050628,0.0105,0.0109,-0.0051,0.0001,-0.0022
20050629,-0.0007,0.003,0.0012,0.0001,-0.0008
20050630,-0.0063,0.002,0.0027,0.0001,0.0028
20050701,0.0032,0.0011,0.003,0.00012,0.0038
20050705,0.0092,0.0058,-0.0019,0.00012,0.0056
20050706,-0.0073,0.0007,0.0007,0.00012,-0.0025
20050707,0.0026,-0.0011,-0.0024,0.00012,0.0039
20050708,0.0121,0.0078,-0.0055,0.00012,-0.005
20050711,0.0069,0.0078,-0.0013,0.00012,0.0005
20050712,0.002,-0.0028,-0.0004,0.00012,0.0002
20050713,0.0002,-0.0041,0.0007,0.00012,-0.0048
20050714,0.0014,-0.0066,-0.0044,0.00012,-0.0101
20050715,0.0012,-0.0003,-0.0003,0.00012,0.0021
20050718,-0.0055,-0.0016,0.001,0.00012,0.0021
20050719,0.0075,0.0091,-0.0011,0.00012,0.0036
20050720,0.0054,0.0078,-0.0026,0.00012,-0.0003
20050721,-0.0074,-0.0061,0.0015,0.00012,-0.0085
20050722,0.0057,0.0094,0.0054,0.00012,0.0066
20050725,-0.0047,-0.0052,0.0013,0.00012,0.0003
20050726,0.0021,0.0028,0.0023,0.00012,-0.0002
20050727,0.0043,-0.0038,-0.0004,0.00012,0.0021
20050728,0.0067,0.0053,-0.0018,0.00012,0.0063
20050729,-0.0066,0.0024,0.0012,0.00012,0.0023
20050801,0.0015,0.0027,-0.0012,0.00013,0.0027
20050802,0.007,0.0005,0.0011,0.00013,0.002
20050803,-0.0002,-0.0066,-0.0004,0.00013,-0.0015
20050804,-0.0082,-0.0084,0.0035,0.00013,-0.0001
20050805,-0.0081,-0.0032,-0.0002,0.00013,-0.0062
20050808,-0.0032,0.0001,0.0025,0.00013,-0.0002
20050809,0.0055,-0.0048,-0.0007,0.00013,-0.0009
20050810,-0.0013,0.0002,0.0016,0.00013,0.0083
20050811,0.0071,0.0019,-0.0008,0.00013,0.0012
20050812,-0.0057,-0.0039,0.0011,0.00013,0.0006
20050815,0.003,0.0047,-0.0013,0.00013,-0.0022
20050816,-0.0122,-0.0046,0.0017,0.00013,-0.0044
20050817,0.0005,0.0001,-0.0006,0.00013,-0.0021
20050818,-0.0015,-0.0043,0.0005,0.00013,-0.0006
20050819,0.0007,0.0007,0.0017,0.00013,0.0049
20050822,0.0019,0.005,0.0015,0.00013,0.0012
20050823,-0.0031,-0.0002,0.0001,0.00013,0.0024
20050824,-0.0056,0.0046,0.0012,0.00013,0.0048
20050825,0.0021,0.0013,0.002,0.00013,0.0006
20050826,-0.0066,-0.0057,-0.001,0.00013,-0.0024
20050829,0.0065,0.0039,-0.0022,0.00013,0.0019
20050830,-0.0031,-0.0003,0.0034,0.00013,0.0075
20050831,0.011,0.0072,-0.0006,0.00013,0.0093
20050901,0.0013,-0.0003,0.0025,0.00014,0.0044
20050902,-0.0036,-0.0031,-0.0001,0.00014,-0.0044
20050906,0.0122,0.003,-0.0049,0.00014,0.0019
20050907,0.003,0.0008,-0.0014,0.00014,0.003
20050908,-0.004,-0.0012,-0.0005,0.00014,0.0014
20050909,0.0073,-0.001,0.0013,0.00014,0.0055
20050912,0,0.0054,-0.0034,0.00014,-0.0043
20050913,-0.0076,-0.0021,0.0013,0.00014,0.0016
20050914,-0.0044,-0.0067,0.0042,0.00014,0.0004
20050915,-0.0002,-0.0026,0.003,0.00014,0.0015
20050916,0.0072,0.0015,-0.001,0.00014,-0.0007
20050919,-0.0055,-0.0017,0.0022,0.00014,0.0095
20050920,-0.0078,-0.0011,0.0004,0.00014,-0.002
20050921,-0.0103,-0.0049,0.003,0.00014,0.0035
20050922,0.003,-0.0007,-0.0023,0.00014,-0.0004
20050923,0.0015,0.0053,0.0019,0.00014,0.0015
20050926,0.0012,0.0053,0.0006,0.00014,0.0073
20050927,-0.0002,-0.0007,-0.0008,0.00014,0.0022
20050928,0.0006,-0.006,0.0027,0.00014,0.0034
20050929,0.0092,0.0021,0.0004,0.00014,-0.0007
20050930,0.002,0.0032,-0.0017,0.00014,0.0015
20051003,0,0.0047,0.0002,0.00013,0.0062
20051004,-0.0097,0.0022,-0.0019,0.00013,-0.0065
20051005,-0.0163,-0.0102,-0.0025,0.00013,-0.0113
20051006,-0.0057,-0.0034,0.0011,0.00013,-0.0139
20051007,0.0042,0.0032,0.0025,0.00013,0.0081
20051010,-0.0073,-0.0007,-0.0022,0.00013,-0.0069
20051011,-0.0033,-0.0097,0.0014,0.00013,0.0066
20051012,-0.0079,-0.0054,0.001,0.00013,-0.0096
20051013,-0.0009,0.0045,-0.0055,0.00013,-0.0062
20051014,0.0092,0.005,-0.001,0.00013,0.0085
20051017,0.0029,-0.0034,0.0011,0.00013,0.0073
20051018,-0.0103,-0.0002,-0.0013,0.00013,-0.0095
20051019,0.0145,0.0046,-0.0019,0.00013,0.0042
20051020,-0.0144,0.0001,-0.0037,0.00013,-0.0096
20051021,0.0032,0.0038,0.0024,0.00013,0.0048
20051024,0.017,0.0015,0.0029,0.00013,0.0075
20051025,-0.003,-0.0032,0.0009,0.00013,0.0051
20051026,-0.0046,-0.0023,0.0018,0.00013,-0.0039
20051027,-0.0124,-0.0104,0.0042,0.00013,-0.0057
20051028,0.0155,-0.0003,0.0026,0.00013,0.0053
20051031,0.0096,0.008,0.0004,0.00013,0.0032
20051101,-0.0027,-0.0023,0.0039,0.00015,0.0024
20051102,0.0115,0.0084,0,0.00015,0.0053
20051103,0.0043,-0.001,-0.0018,0.00015,0.0065
20051104,0.0001,0.0006,-0.0028,0.00015,-0.0095
20051107,0.0025,0.0022,-0.0005,0.00015,-0.0056
20051108,-0.0037,-0.0034,-0.0004,0.00015,0.0028
20051109,0.0015,0.0025,-0.0002,0.00015,-0.003
20051110,0.008,-0.0007,-0.0059,0.00015,-0.0106
20051111,0.0027,-0.0003,-0.0012,0.00015,0.0001
20051114,-0.001,-0.0034,0.0006,0.00015,0.0018
20051115,-0.0049,-0.0065,-0.0017,0.00015,0.0036
20051116,0.0011,-0.0035,0,0.00015,0.0089
20051117,0.0106,0.0068,-0.0009,0.00015,0.0013
20051118,0.0043,0.0027,-0.0016,0.00015,-0.0065
20051121,0.006,0.0043,-0.0035,0.00015,0.0043
20051122,0.0048,-0.0004,-0.0001,0.00015,0.0028
20051123,0.0031,-0.0027,0.0022,0.00015,-0.0056
20051125,0.0018,-0.0012,-0.0008,0.00015,0.0023
20051128,-0.0101,-0.0071,0.0021,0.00015,-0.0087
20051129,0.0001,0.0028,0.0028,0.00015,0.0043
20051130,-0.0043,0.0114,-0.0016,0.00015,0.0022
20051201,0.0127,0.0052,0.0013,0.00015,0.0052
20051202,0.0005,0.0006,-0.0014,0.00015,0.0018
20051205,-0.003,-0.0022,0.0008,0.00015,0.0046
20051206,0.0012,0.0006,0.0006,0.00015,-0.0006
20051207,-0.0049,-0.0007,0.0006,0.00015,-0.0037
20051208,-0.0003,0.0025,0.0007,0.00015,0.0091
20051209,0.0027,0.0022,0.0005,0.00015,-0.0047
20051212,0.001,0.0012,-0.0005,0.00015,0.0013
20051213,0.0044,-0.0053,-0.0021,0.00015,-0.0026
20051214,0.0034,-0.0025,0.0008,0.00015,-0.0015
20051215,-0.0023,-0.0057,-0.0037,0.00015,0.0005
20051216,-0.0029,0.0003,-0.0004,0.00015,-0.0038
20051219,-0.0073,-0.0081,0.0028,0.00015,-0.0045
20051220,-0.0002,-0.0002,0.0001,0.00015,0.0073
20051221,0.0033,0.0066,-0.0035,0.00015,0.0024
20051222,0.0045,0.0012,-0.0002,0.00015,-0.0002
20051223,0.0008,0.0029,0,0.00015,-0.0024
20051227,-0.01,-0.0044,0.0016,0.00015,-0.0046
20051228,0.0019,0.004,0.0012,0.00015,0.0037
20051229,-0.0027,-0.0002,0.0021,0.00015,-0.0014
20051230,-0.005,-0.0022,0.0026,0.00015,-0.0004
20060103,0.015,-0.0019,0.0013,0.00017,0.0116
20060104,0.0046,0.0034,0.0003,0.00017,0.0024
20060105,0.0003,0.0028,-0.0014,0.00017,-0.0056
20060106,0.0092,0.0009,-0.0023,0.00017,0.0032
20060109,0.0045,0.0052,-0.0009,0.00017,-0.0008
20060110,0.0005,0.0058,0.0002,0.00017,0.0046
20060111,0.0028,-0.0025,-0.0011,0.00017,-0.0013
20060112,-0.0065,0.0009,-0.0003,0.00017,-0.0001
20060113,0.0017,0.0013,0.0006,0.00017,0.003
20060117,-0.004,-0.0032,0.0022,0.00017,0.0075
20060118,-0.0035,0.0036,0.003,0.00017,-0.0034
20060119,0.0063,0.0093,-0.0008,0.00017,0.0046
20060120,-0.018,0.0037,0.0051,0.00017,0.001
20060123,0.0018,0.002,0.0043,0.00017,0.0034
20060124,0.0044,0.0103,0.0016,0.00017,0.004
20060125,-0.0022,-0.0004,-0.0011,0.00017,-0.0073
20060126,0.0079,0.0081,0.0004,0.00017,0.0024
20060127,0.0067,-0.0015,-0.0017,0.00017,0.0027
20060130,0.001,-0.0026,0.0021,0.00017,0.0032
20060131,-0.0021,0.0061,-0.0003,0.00017,0.0022
20060201,0.0014,0.0018,0.0005,0.00018,-0.0018
20060202,-0.0088,-0.0028,-0.0006,0.00018,-0.0029
20060203,-0.0051,0.0023,0.0001,0.00018,0.0025
20060206,0.001,0.0026,0.005,0.00018,0.0054
20060207,-0.0092,-0.0048,-0.0022,0.00018,-0.0137
20060208,0.0077,-0.0025,-0.0009,0.00018,-0.0042
20060209,-0.0019,-0.0016,-0.0027,0.00018,-0.0064
20060210,0.0015,-0.0036,-0.0005,0.00018,-0.003
20060213,-0.0047,-0.005,0.0014,0.00018,-0.0041
20060214,0.0101,0.0026,-0.0011,0.00018,-0.0007
20060215,0.0041,0.0041,-0.0047,0.00018,0.0002
20060216,0.0075,0.0005,0.0022,0.00018,0.0089
20060217,-0.0016,-0.0005,0.0036,0.00018,0.003
20060221,-0.0038,-0.002,0.0014,0.00018,0.0049
20060222,0.0073,0.0001,-0.0004,0.00018,-0.0011
20060223,-0.0029,0.0022,-0.0022,0.00018,0.0005
20060224,0.0019,0.0035,0.0017,0.00018,0.0031
20060227,0.004,0.0016,-0.0036,0.00018,-0.0008
20060228,-0.011,-0.0021,0.0007,0.00018,-0.0038
20060301,0.009,0.0068,-0.0004,0.00016,0.0088
20060302,-0.0016,-0.0008,0.0005,0.00016,0.0045
20060303,-0.0015,-0.0001,0.0007,0.00016,0.0003
20060306,-0.0075,-0.0021,-0.0014,0.00016,-0.0097
20060307,-0.004,-0.0107,0.0005,0.00016,-0.0099
20060308,0.0014,-0.0005,0.0006,0.00016,-0.0019
20060309,-0.0051,-0.0001,0.0029,0.00016,-0.0025
20060310,0.0069,0.0039,0.0003,0.00016,-0.0009
20060313,0.0024,-0.0003,0.001,0.00016,0.0037
20060314,0.01,0.0004,-0.0003,0.00016,0.0071
20060315,0.0048,0.004,0.0015,0.00016,0.003
20060316,0.0011,-0.0013,0.0031,0.00016,-0.0013
20060317,0.0018,0.0011,-0.0032,0.00016,0.0005
20060320,-0.0007,0.0017,-0.0032,0.00016,-0.003
20060321,-0.0069,-0.0052,-0.001,0.00016,-0.0058
20060322,0.0062,0.0049,0.0012,0.00016,0.0006
20060323,-0.0018,0.0054,-0.0001,0.00016,0.0017
20060324,0.0022,0.0066,0.002,0.00016,0.0071
20060327,-0.0007,0.0015,0.0025,0.00016,0.0033
20060328,-0.0061,0.0024,-0.0008,0.00016,0.0019
20060329,0.0087,0.0086,0.0014,0.00016,0.0067
20060330,-0.0016,0.0016,-0.0016,0.00016,-0.003
20060331,-0.0023,0.007,-0.0004,0.00016,0.0008
20060403,0.0007,-0.0088,0.0069,0.00019,0.0039
20060404,0.0054,-0.0026,0.0013,0.00019,0.0041
20060405,0.0042,-0.0003,0.0025,0.00019,0.0054
20060406,-0.0015,0.0018,0.0001,0.00019,-0.0011
20060407,-0.0102,-0.0012,-0.0017,0.00019,-0.0035
20060410,-0.0002,-0.004,0.0005,0.00019,0
20060411,-0.0083,-0.0067,0.0002,0.00019,-0.0054
20060412,0.0019,0.0057,-0.0003,0.00019,0.0033
20060413,0.0012,0.0038,-0.0014,0.00019,0.004
20060417,-0.0028,0,0.003,0.00019,0.0053
20060418,0.0171,0.0067,0.0007,0.00019,0.0083
20060419,0.0033,0.0087,0.0007,0.00019,0.0057
20060420,0.0001,-0.0049,0.0004,0.00019,-0.0022
20060421,-0.001,-0.0019,0.003,0.00019,0.0006
20060424,-0.003,-0.0041,0.0012,0.00019,-0.0001
20060425,-0.0044,0.0044,0.0001,0.00019,-0.0037
20060426,0.002,-0.0009,0.0028,0.00019,-0.0062
20060427,0.0024,-0.0095,0,0.00019,-0.0111
20060428,0.0005,0.0013,0.0052,0.00019,-0.0026
20060501,-0.0041,0.0001,0.0047,0.0002,0.0058
20060502,0.0054,0.002,0.0057,0.0002,0.007
20060503,-0.0031,0.004,0.0007,0.0002,0.0002
20060504,0.0037,0.0059,-0.0024,0.0002,0.0024
20060505,0.0104,-0.003,-0.0002,0.0002,0.0009
20060508,-0.0005,0.0008,0.0009,0.0002,-0.0027
20060509,-0.0001,-0.0014,0.002,0.0002,0.0044
20060510,-0.002,-0.0059,0.0054,0.0002,-0.0006
20060511,-0.0135,-0.0109,0.0023,0.0002,-0.0094
20060512,-0.0126,-0.0072,-0.0008,0.0002,-0.0152
20060515,0.0004,-0.0091,-0.0029,0.0002,-0.0171
20060516,-0.0012,0.001,0.0035,0.0002,-0.0002
20060517,-0.0166,0.0012,0.0016,0.0002,-0.01
20060518,-0.0069,-0.0034,0.0013,0.0002,-0.0093
20060519,0.0038,0.0011,0,0.0002,0.0021
20060522,-0.0055,-0.0076,0.0024,0.0002,-0.0129
20060523,-0.0044,0.0007,-0.0001,0.0002,0.007
20060524,0.0003,-0.0008,-0.0014,0.0002,-0.01
20060525,0.0122,0.007,0.0001,0.0002,0.0088
20060526,0.006,-0.0016,-0.0008,0.0002,0.0046
20060530,-0.0165,-0.0078,0.0013,0.0002,-0.0072
20060531,0.0094,0.0036,0.0038,0.0002,0.0083
20060601,0.0129,0.0082,-0.0017,0.00018,0.0051
20060602,0.0016,-0.0007,0.0021,0.00018,0.0039
20060605,-0.0194,-0.0117,0.002,0.00018,-0.0106
20060606,-0.0028,-0.0017,-0.001,0.00018,-0.0036
20060607,-0.0057,0.0004,-0.0018,0.00018,-0.0116
20060608,0.0001,-0.0026,0.0004,0.00018,-0.0069
20060609,-0.0044,-0.0024,-0.0005,0.00018,-0.0009
20060612,-0.0148,-0.0127,0.0027,0.00018,-0.0164
